"","newDate","n"
"164",2018-06-13,145.675146478228
"165",2018-06-14,115.50750656426
"166",2018-06-15,138.212475608103
"167",2018-06-16,116.508880457841
"168",2018-06-17,85.2513796798885
"169",2018-06-18,126.719247039407
"170",2018-06-19,117.603937898763
"171",2018-06-20,139.522065859288
"172",2018-06-21,115.173963079229
"173",2018-06-22,138.733825935051
"174",2018-06-23,93.9423598935828
"175",2018-06-24,93.8414265587926
"176",2018-06-25,130.375415639021
"177",2018-06-26,132.671856574714
"178",2018-06-27,136.193949980661
"179",2018-06-28,137.030118064955
"180",2018-06-29,110.883922628127
"181",2018-06-30,123.609588606283
"182",2018-07-01,96.0043393010274
"183",2018-07-02,113.800381484441
"184",2018-07-03,96.5419412413612
"185",2018-07-04,104.21311496757
"186",2018-07-05,114.452068468556
